filename,z3-time,z3-res,message
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula1878_unsat.smt2,0.24,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils.feedgeneratorget_tag_uriformula428_unsat.smt2,0.12,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.runnerDiscoverRunner.run_testsformula594_unsat.smt2,0.19,unsat,
benchmark_sample_50/django_3/08_djangotests.test_runner.test_discover_runnerDiscoverRunnerGetDatabasesTests.get_databasesformula1225_unsat.smt2,0.10,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula2475_unsat.smt2,0.30,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.runnerDiscoverRunner.run_testsformula568_unsat.smt2,0.20,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula2260_unsat.smt2,0.26,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula1225_unsat.smt2,0.24,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula3784_unsat.smt2,0.23,unsat,
benchmark_sample_50/django_3/08_djangotests.admin_views.testsAdminKeepChangeListFiltersTests.assertURLEqualformula71_sat.smt2,0.12,unknown,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula4235_unsat.smt2,0.26,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula4627_unsat.smt2,0.32,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils._ossafe_joinformula130_unsat.smt2,0.19,unsat,
benchmark_sample_50/django_3/08_djangotests.test_runner.test_discover_runnerDiscoverRunnerGetDatabasesTests.get_databasesformula1275_unsat.smt2,0.17,unsat,
benchmark_sample_50/django_3/08_djangotests.test_runner.test_discover_runnerDiscoverRunnerGetDatabasesTests.assertSkippedDatabasesformula2135_unsat.smt2,0.20,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula3470_unsat.smt2,0.34,unsat,
benchmark_sample_50/stringfuzz_sat/lengths-concats-00034-1.smt25,0.67,sat,
benchmark_sample_50/thefuck/06_thefuckthefuck.rules.npm_wrong_command_get_available_commandsformula196_unsat.smt2,0.32,unsat,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_trauc/leetcode_int-addStrings/12.smt2,0.62,unknown,
benchmark_sample_50/PyEx_unsat/9697405ae2d664108e37ffeb1a6b75fcc6352060ddc5a220eafe28cb.smt2,0.07,unsat,
benchmark_sample_50/PyEx_unsat/582d0d11fc025c689a42d52334b4365bc04d9fafae3d7d4d168eae7f.smt2,0.09,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula3567_unsat.smt2,0.40,unsat,
benchmark_sample_50/thefuck/06_thefucktests.rules.test_no_commandtest_get_new_commandformula2997_unsat.smt2,0.43,unsat,
benchmark_sample_50/PyEx_unsat/32d107626c8d0dc6281f320f706c8932ce5d9d3f50f027912ed1f359.smt2,0.12,unsat,
benchmark_sample_50/PyEx_unsat/ec489f8d7e523af1a9c76cae6d3c6aa61e01250a9013854ac45d5958.smt2,0.09,unsat,
benchmark_sample_50/django_3/08_djangotests.test_runner.test_discover_runnerDiscoverRunnerGetDatabasesTests.get_databasesformula2717_unsat.smt2,0.31,unsat,
benchmark_sample_50/PyEx_unsat/06b768fe5e676ed954ae4991dec0b99746e39dc52bec89bf16528737.smt2,0.06,unsat,
benchmark_sample_50/PyEx_unsat/cb3be3008887ac77e7c481046639a0ec9ab5f3bb636573f598d14742.smt2,0.12,unknown,
benchmark_sample_50/PyEx_unsat/a799e35e315d4d1e0506caf0470b3ccb2a1cb06d6d14f81bd275c260.smt2,0.09,unsat,
benchmark_sample_50/PyEx_unsat/b8825d3ee2e3ba8af5f8b784cfbf72be93797c63b10146d135cb6adf.smt2,0.12,unsat,
benchmark_sample_50/PyEx_unsat/981aff799f77a6fd041c9f4e0abc5e52fc67dee8248c748494fc0f18.smt2,0.15,unsat,
benchmark_sample_50/django_3/08_djangotests.test_runner.test_discover_runnerDiscoverRunnerGetDatabasesTests.assertSkippedDatabasesformula1390_unsat.smt2,0.29,unsat,
benchmark_sample_50/PyEx_unsat/ca73e6a3eeba20d336a5dd6775c003fb00845836bdafb734b2f529c2.smt2,0.12,unknown,
benchmark_sample_50/django_3/08_djangotests.test_runner.test_discover_runnerDiscoverRunnerGetDatabasesTests.assertSkippedDatabasesformula2639_unsat.smt2,0.29,unsat,
benchmark_sample_50/PyEx_unsat/624adef34a544a131a32ed186513bbf1f62b84de979e60e8bd77cb5b.smt2,0.16,unsat,
benchmark_sample_50/PyEx_unsat/6669d049019b56d67a921e4cd3f007cf0d833caa4532afa46a51c88b.smt2,0.10,unsat,
benchmark_sample_50/PyEx_unsat/e612538ad4d3614f2fbeff4018813782e49f9bb73e21ae8494015d27.smt2,0.09,unsat,
benchmark_sample_50/PyEx_unsat/652dde2588bd0d8270ecebd37b1e06773cae3f1cab28df12faed8cd8.smt2,0.13,unsat,
benchmark_sample_50/PyEx_unsat/98f104f153284e55b376f43841445d9a546b50b990b2680f1085caf8.smt2,0.11,unsat,
benchmark_sample_50/django_3/08_djangotests.test_runner.test_discover_runnerDiscoverRunnerGetDatabasesTests.get_databasesformula757_unsat.smt2,0.36,unsat,
benchmark_sample_50/PyEx_unsat/37abf19dec71a8213e76c1fe4194de8f7d7d682d025f3245febc12bc.smt2,0.15,unknown,
benchmark_sample_50/PyEx_unsat/dba1c41fc7c7f7ff4679dba3b3e808b8f59884678cd31a4fd3c0339b.smt2,0.10,unsat,
